"Point","North_cor","East_cor","Code","BedSE"
"142",1842001.593,6057162.53,"wse",9.132
"143",1842004.701,6057160.043,"topo",7.224
"144",1842010.169,6057167.079,"topo",7.461
"145",1842026.658,6057179.857,"topo",7.593
"146",1842030.781,6057186.402,"wse",9.111
"147",1842042.708,6057194.694,"topo",9.187
"148",1842051.229,6057196.319,"wse",9.168
"149",1842058.444,6057195.16,"topo",8.807
"150",1842042.413,6057218.437,"levee",14.546
"151",1842053.889,6057232.998,"levee",14.234
"152",1842068.306,6057248.841,"levee",13.933
"153",1842084.374,6057265.155,"levee",14.163
"154",1842097.645,6057247.819,"topo",10.421
"155",1842081.097,6057233.148,"topo",10.337
"156",1842067.315,6057219.211,"topo",10.236
"157",1842061.348,6057212.607,"topo",9.992
"158",1842072.784,6057213.397,"topo",9.615
"159",1842083.203,6057221.432,"topo",9.318
"160",1842081.073,6057216.858,"wse",9.076
"161",1842091.472,6057229.571,"wse",9.129
"162",1842098.007,6057227.192,"topo",7.425
"163",1842099.564,6057218.776,"topo",6.888
"164",1842101.097,6057206.858,"topo",6.838
"165",1842091.63,6057197.756,"topo",6.728
"166",1842087.498,6057188.07,"topo",6.301
"167",1842078.266,6057180.649,"topo",6.178
"168",1842068.087,6057176.213,"topo",6.12
"169",1842114.989,6057208.538,"topo",6.177
"170",1842105.869,6057223.805,"topo",6.988
"171",1842089.238,6057244.088,"topo",10.852
"172",1842102.215,6057246.699,"topo",10.619
"173",1842110.449,6057248.062,"wse",9.177
"174",1842107.217,6057268.48,"topo",11.008
"175",1842122.499,6057270.105,"topo",9.967
"176",1842127.331,6057286.707,"topo",10.516
"177",1842136.88,6057276.361,"wse",9.162
"178",1842122.931,6057312.469,"levee",14.858
"179",1842136.59,6057293.574,"topo",10.542
"180",1842145.983,6057284.37,"topo",9.288
"181",1842152.143,6057277.814,"topo",7.799
"182",1842148.413,6057278.162,"wse",9.151
"183",1842150.701,6057269.794,"topo",7.188
"184",1842158.552,6057267.532,"topo",6.377
"185",1842154.469,6057253.817,"topo",6.558
"186",1842164.101,6057244.35,"topo",6.379
"187",1842173.73,6057251.973,"topo",6.135
"188",1842178.198,6057255.436,"topo",6.092
"189",1842177.233,6057269.966,"topo",6.475
"190",1842186.377,6057276.935,"topo",6.249
"191",1842196.946,6057281.561,"topo",6.138
"192",1842204.21,6057288.196,"topo",6.095
"193",1842188.184,6057301.892,"topo",6.228
"194",1842179.493,6057293.429,"topo",6.498
"195",1842154,6057297.219,"topo",9.504
"196",1842152.395,6057306.629,"topo",10.446
"197",1842167.935,6057310.888,"topo",9.302
"198",1842168.465,6057332.005,"topo",10.585
"199",1842185.075,6057328.164,"topo",9.209
"200",1842164.283,6057359.617,"levee",15.316
"201",1842194.546,6057348.569,"topo",9.68
"202",1842198.75,6057368.392,"topo",10.931
"203",1842221.369,6057378.126,"topo",9.772
"204",1842226.703,6057396.778,"topo",10.961
"205",1842233.839,6057398.852,"topo",10.358
"206",1842208.236,6057365.655,"topo",9.042
"207",1842212.867,6057360.306,"wse",9.152
"208",1842217.785,6057357.515,"topo",7.897
"209",1842211.17,6057404.622,"levee",16.595
"210",1842221.252,6057437.032,"levee",15.405
"211",1842227.936,6057451.182,"levee",14.166
"212",1842246.228,6057487.641,"topo",11.64
"213",1842258.18,6057512.359,"topo",10.366
"214",1842262.379,6057505.404,"wse",9.134
"215",1842192.078,6057260.267,"topo",5.774
"216",1842202.475,6057287.228,"topo",6.07
"217",1842217.653,6057292.417,"topo",5.733
"218",1842218.872,6057310.956,"topo",5.943
"219",1842223.715,6057323.869,"topo",5.891
"220",1842235.671,6057326.579,"topo",5.354
"221",1842230.541,6057339.943,"topo",5.707
"222",1842238.585,6057345.348,"topo",5.3
"223",1842231.124,6057351.648,"topo",5.702
"224",1842208.499,6057331.012,"topo",5.855
"225",1842190.036,6057305.33,"topo",6.205
"226",1842153.166,6057238.58,"topo",6.334
"227",1842138.352,6057232.425,"topo",6.391
"228",1842136.829,6057216.189,"topo",5.457
"229",1842124.044,6057210.794,"topo",5.787
"230",1842117.874,6057204.618,"topo",5.363
"231",1842108.149,6057195.463,"topo",5.12
"232",1842094.541,6057186.529,"topo",5.475
"233",1842086.864,6057179.488,"topo",4.983
"234",1842070.256,6057177.996,"topo",5.808
"235",1842063.79,6057175.221,"topo",5.764
"236",1842055.785,6057170.103,"topo",5.824
"237",1842047.718,6057165.317,"topo",5.975
"238",1842041.599,6057160.511,"topo",5.748
"239",1842032.758,6057158.995,"topo",6.253
"240",1842020.871,6057168.32,"topo",7.136
"241",1841903.872,6057074.311,"cb01b",25.865
"242",1841905.827,6057064.044,"bridge",27.4
"243",1841914.991,6057063.34,"rocks",17.396
"244",1841921.221,6057063.606,"rocks",15.495
"245",1841919.43,6057058.017,"rocks",14.282
"246",1841926.561,6057067.696,"rocks",13.149
"247",1841926.369,6057076.359,"rocks",14.919
"248",1842157.702,6056912.639,"cpx",12.39
"249",1842146.017,6057144.525,"topo",9.369
"250",1842154.06,6057142.282,"topo",9.546
"251",1842142.508,6057149.682,"topo",9.252
"252",1842138.758,6057154.015,"wse",9.095
"253",1842162.012,6057151.253,"topo",9.818
"254",1842160.898,6057171.326,"topo",9.711
"255",1842165.66,6057182.35,"wse",9.137
"256",1842178.977,6057170.644,"topo",10.317
"257",1842184.472,6057188.447,"topo",10.188
"258",1842202.981,6057199.293,"topo",10.874
"259",1842198.221,6057208.501,"wse",9.161
"260",1842207.68,6057209.609,"topo",10.396
"261",1842222.18,6057221.201,"topo",10.713
"262",1842215.488,6057228.203,"wse",9.162
"263",1842224.451,6057229.959,"wse",10.33
"264",1842228.635,6057245.036,"wse",10.395
"265",1842231.665,6057248.317,"wse",9.164
"266",1842241.789,6057246.884,"topo",11.047
"267",1842241.352,6057256.763,"topo",10.13
"268",1842243.232,6057262.865,"wse",9.121
"269",1842254.993,6057268.968,"topo",10.765
"270",1842259.815,6057278.221,"topo",10.541
"271",1842260.98,6057283.524,"wse",9.123
"272",1842271.195,6057286.737,"topo",10.51
"273",1842274.677,6057298.643,"topo",10.013
"274",1842276.229,6057303.052,"wse",9.156
"275",1842275.141,6057308.354,"topo",6.319
"276",1842254.168,6057244.719,"levee",15.288
"277",1842237.207,6057222.554,"levee",14.844
"278",1842223.638,6057207.234,"levee",13.953
"279",1842210.601,6057192.534,"levee",13.476
"280",1842290.393,6057286.411,"levee",15.501
"281",1842298.576,6057298.178,"levee",15.546
"282",1842306.181,6057308.988,"levee",15.531
"283",1842321.211,6057322.113,"levee",15.83
"284",1842286.347,6057309.943,"topo",10.434
"285",1842292.957,6057317.405,"topo",9.943
"286",1842304.245,6057321.207,"topo",12.943
"287",1842317.389,6057334.923,"topo",12.839
"288",1842314.326,6057345.021,"wse",9.176
"289",1842326.371,6057346.444,"topo",11.446
"290",1842328.286,6057359.323,"topo",9.017
"291",1842324.977,6057361.571,"wse",9.137
"292",1842328.639,6057369.368,"topo",9.23
"293",1842334.977,6057381.097,"topo",9.292
"294",1842328.111,6057388.525,"wse",9.127
"295",1842333.209,6057393.509,"topo",9.279
"296",1842341.944,6057407.145,"topo",9.438
"297",1842334.105,6057415.901,"wse",9.103
"298",1842339.725,6057425.267,"topo",9.271
"299",1842336.491,6057436.18,"topo",9.312
"300",1842337.8,6057453.789,"topo",9.761
"301",1842328.414,6057465.763,"topo",9.443
"302",1842315.5,6057470.892,"wse",9.158
"303",1842307.251,6057476.638,"topo",7.862
"304",1842291.327,6057448.651,"topo",5.859
"305",1842291.828,6057462.24,"topo",5.935
"306",1842293.317,6057478.286,"topo",5.795
"307",1842294.271,6057493.189,"topo",5.53
"308",1842306.189,6057498.628,"topo",5.779
"309",1842298.188,6057517.226,"topo",5.27
"310",1842323.065,6057521.785,"topo",5.537
"311",1842331.452,6057535.411,"topo",5.653
"312",1842322.069,6057548.76,"topo",5.906
"313",1842333.196,6057565.796,"topo",6.056
"314",1842353.135,6057560.714,"topo",5.583
"315",1842355.391,6057553.386,"topo",5.639
"316",1842361.638,6057559.865,"topo",5.348
"317",1842374.37,6057568.587,"topo",5.513
"318",1842390.003,6057582.392,"topo",5.419
"319",1842391.41,6057607.304,"topo",5.897
"320",1842422.475,6057609.013,"topo",5.389
"321",1842443.617,6057626.716,"topo",5.735
"322",1842445.792,6057644.774,"topo",5.775
"323",1842461.619,6057635.734,"topo",5.308
"324",1842482.864,6057646.755,"topo",6.078
"325",1842492.085,6057658.919,"topo",5.578
"326",1842509.51,6057666.155,"topo",5.703
"327",1842529.333,6057673.653,"topo",5.558
"328",1842558.047,6057679.304,"wse",9.167
"329",1842559.609,6057695.77,"topo",5.684
"330",1842574.324,6057696.022,"topo",5.577
"331",1842583.507,6057690.323,"wse",9.173
"332",1842590.13,6057698.835,"topo",6.639
"333",1842590.424,6057703.087,"topo",5.064
"334",1842228.868,6057420.763,"wse",9.271
"335",1842231.334,6057431.277,"wse",9.307
"336",1842242.761,6057451.306,"wse",9.115
"338",1842245.978,6057459.057,"wse",9.122
"339",1842250.259,6057475.214,"wse",9.144
"340",1842262.632,6057502.597,"wse",9.142
"341",1842276.755,6057522.476,"wse",9.134
"342",1842291.224,6057548.246,"wse",9.192
"343",1842300.415,6057567.801,"wse",9.206
"344",1842329.058,6057603.415,"wse",9.162
"346",1842414.487,6057681.74,"wse",9.148
"347",1842469.1,6057705.176,"wse",9.152
"348",1842526.675,6057732.418,"wse",9.163
"349",1842605.167,6057762.795,"wse",9.3
"350",1842682.12,6057788.079,"wse",9.249
"351",1842864.466,6057838.671,"wse",9.217
"352",1843123.095,6057848.807,"wse",9.273
"353",1843120.546,6057808.796,"wse",9.275
"354",1843115.817,6057814.125,"topo",6.348
"355",1843098.892,6057827.069,"topo",6.767
"356",1843102.044,6057807.244,"wse",9.188
"357",1843060.932,6057796.134,"wse",9.297
"358",1843043.506,6057809.988,"topo",7.073
"359",1842994.019,6057789.874,"wse",9.206
"360",1842944.957,6057784.377,"wse",9.327
"361",1842706.358,6057739.663,"wse",9.268
"362",1841904.076,6057074.003,"cp01c",25.85
"363",1841832.49,6057136.537,"hwymark",26.865
