BASE,1841788.185,6057178.720,29.847,cp02
0066,1841890.365,6057027.510,11.531,wse
0067,1841879.629,6057014.142,11.458,wse
0068,1841871.130,6056996.168,11.465,wse
0069,1841863.855,6056979.309,11.522,wse
0070,1841858.623,6056965.236,11.495,wse
0071,1841854.160,6056947.801,11.514,wse
0072,1841852.317,6056929.783,11.498,wse
0073,1841864.009,6056914.514,11.462,wse
0074,1841885.694,6056912.755,11.418,wse
0075,1841906.931,6056913.665,11.449,wse
0076,1841925.871,6056903.485,11.480,wse
0077,1841944.040,6056895.455,11.418,wse
0078,1841953.803,6056887.226,11.456,wse
0079,1841945.470,6056878.865,12.437,beach
0080,1841926.285,6056876.259,12.784,beach
0081,1841910.287,6056883.528,12.936,beach
0082,1841886.617,6056876.909,13.357,beach
0083,1841866.512,6056901.790,12.492,beach
0084,1841854.197,6056899.031,13.586,beach
0085,1841838.088,6056897.832,17.848,beach
0086,1841836.349,6056906.811,17.541,beach
0087,1841836.650,6056928.194,17.430,beach
0088,1841840.586,6056944.541,16.792,beach
0089,1841846.546,6056961.715,16.399,beach
0090,1841851.866,6056976.430,15.812,beach
0091,1841857.967,6056990.028,14.709,beach
0092,1841866.082,6057001.313,12.873,beach
0093,1841871.728,6057009.840,12.153,beach
0094,1841875.447,6057016.875,12.248,beach
0095,1841924.975,6057060.081,8.038,topo
0096,1841927.152,6057065.849,9.071,topo
0097,1841923.326,6057073.832,11.512,wse
0098,1841928.560,6057074.944,8.788,topo
0099,1841933.879,6057077.112,8.187,topo
0100,1841931.585,6057083.750,8.701,topo
0101,1841926.651,6057084.664,11.452,wse
0102,1841929.094,6057092.920,11.498,wse
0103,1841932.268,6057091.102,9.078,topo
0104,1841935.509,6057087.980,8.354,topo
0105,1841932.308,6057093.704,9.133,topo
0106,1841934.334,6057100.923,8.787,topo
0107,1841934.675,6057106.566,11.386,wse
0108,1841940.369,6057106.055,8.762,wse
0109,1841940.875,6057112.597,8.759,wse
0110,1841949.240,6057114.242,8.991,topo
0111,1841954.747,6057114.884,8.833,topo
0112,1841950.674,6057124.525,11.487,wse
0113,1841960.372,6057134.379,11.449,wse
0114,1841955.220,6057121.364,9.094,topo
0115,1841961.421,6057121.862,8.758,topo
0116,1841961.499,6057128.450,9.161,topo
0117,1841970.128,6057129.042,9.028,topo
0118,1841975.783,6057131.299,8.756,topo
0119,1841969.589,6057135.733,9.227,topo
0120,1841964.940,6057141.520,11.477,wse
0121,1841961.103,6057142.793,12.259,topo
0122,1841949.407,6057133.278,13.049,topo
0123,1841923.985,6057129.916,15.245,topo
0124,1841953.887,6057156.981,15.855,levee
0125,1841961.364,6057165.725,15.636,levee
0126,1841972.985,6057171.865,16.547,levee
0127,1841983.165,6057178.809,17.072,levee
0128,1841993.188,6057186.718,16.826,levee
0129,1842001.016,6057193.826,17.545,levee
0130,1842010.221,6057202.983,17.339,levee
0131,1842025.351,6057191.030,13.135,topo
0132,1842014.523,6057184.276,12.852,topo
0133,1842005.361,6057178.479,12.619,topo
0134,1842023.986,6057189.422,11.529,wse
0135,1841997.085,6057170.201,12.527,topo
0136,1841979.815,6057157.524,12.191,topo
0137,1841972.632,6057151.858,12.053,topo
0138,1841973.229,6057149.826,11.517,wse
0139,1841976.094,6057147.454,9.526,topo
0140,1841982.436,6057155.293,11.475,wse
0141,1841985.916,6057155.194,9.788,topo
0142,1841995.036,6057165.839,11.480,wse
0143,1841998.144,6057163.352,9.572,topo
0144,1842003.612,6057170.388,9.809,topo
0145,1842020.101,6057183.166,9.941,topo
0146,1842024.224,6057189.711,11.459,wse
0147,1842036.151,6057198.003,11.535,topo
0148,1842044.672,6057199.628,11.516,wse
0149,1842051.887,6057198.469,11.155,topo
0150,1842035.856,6057221.746,16.894,levee
0151,1842047.332,6057236.307,16.582,levee
0152,1842061.749,6057252.150,16.281,levee
0153,1842077.817,6057268.464,16.511,levee
0154,1842091.088,6057251.128,12.769,topo
0155,1842074.540,6057236.457,12.685,topo
0156,1842060.758,6057222.520,12.584,topo
0157,1842054.791,6057215.916,12.340,topo
0158,1842066.227,6057216.706,11.963,topo
0159,1842076.646,6057224.741,11.666,topo
0160,1842074.516,6057220.167,11.424,wse
0161,1842084.915,6057232.880,11.477,wse
0162,1842091.450,6057230.501,9.773,topo
0163,1842093.007,6057222.085,9.236,topo
0164,1842094.540,6057210.167,9.186,topo
0165,1842085.073,6057201.065,9.076,topo
0166,1842080.941,6057191.379,8.649,topo
0167,1842071.709,6057183.958,8.526,topo
0168,1842061.530,6057179.522,8.468,topo
0169,1842108.432,6057211.847,8.525,topo
0170,1842099.312,6057227.114,9.336,topo
0171,1842082.681,6057247.397,13.200,topo
0172,1842095.658,6057250.008,12.967,topo
0173,1842103.892,6057251.371,11.525,wse
0174,1842100.660,6057271.789,13.356,topo
0175,1842115.942,6057273.414,12.315,topo
0176,1842120.774,6057290.016,12.864,topo
0177,1842130.323,6057279.670,11.510,wse
0178,1842116.374,6057315.778,17.206,levee
0179,1842130.033,6057296.883,12.890,topo
0180,1842139.426,6057287.679,11.636,topo
0181,1842145.586,6057281.123,10.147,topo
0182,1842141.856,6057281.471,11.499,wse
0183,1842144.144,6057273.103,9.536,topo
0184,1842151.995,6057270.841,8.725,topo
0185,1842147.912,6057257.126,8.906,topo
0186,1842157.544,6057247.659,8.727,topo
0187,1842167.173,6057255.282,8.483,topo
0188,1842171.641,6057258.745,8.440,topo
0189,1842170.676,6057273.275,8.823,topo
0190,1842179.820,6057280.244,8.597,topo
0191,1842190.389,6057284.870,8.486,topo
0192,1842197.653,6057291.505,8.443,topo
0193,1842181.627,6057305.201,8.576,topo
0194,1842172.936,6057296.738,8.846,topo
0195,1842147.443,6057300.528,11.852,topo
0196,1842145.838,6057309.938,12.794,topo
0197,1842161.378,6057314.197,11.650,topo
0198,1842161.908,6057335.314,12.933,topo
0199,1842178.518,6057331.473,11.557,topo
0200,1842157.726,6057362.926,17.664,levee
0201,1842187.989,6057351.878,12.028,topo
0202,1842192.193,6057371.701,13.279,topo
0203,1842214.812,6057381.435,12.120,topo
0204,1842220.146,6057400.087,13.309,topo
0205,1842227.282,6057402.161,12.706,topo
0206,1842201.679,6057368.964,11.390,topo
0207,1842206.310,6057363.615,11.500,wse
0208,1842211.228,6057360.824,10.245,topo
0209,1842204.613,6057407.931,18.943,levee
0210,1842214.695,6057440.341,17.753,levee
0211,1842221.379,6057454.491,16.514,levee
0212,1842239.671,6057490.950,13.988,topo
0213,1842251.623,6057515.668,12.714,topo
0214,1842255.822,6057508.713,11.482,wse
0215,1842185.521,6057263.576,8.122,topo
0216,1842195.918,6057290.537,8.418,topo
0217,1842211.096,6057295.726,8.081,topo
0218,1842212.315,6057314.265,8.291,topo
0219,1842217.158,6057327.178,8.239,topo
0220,1842229.114,6057329.888,7.702,topo
0221,1842223.984,6057343.252,8.055,topo
0222,1842232.028,6057348.657,7.648,topo
0223,1842224.567,6057354.957,8.050,topo
0224,1842201.942,6057334.321,8.203,topo
0225,1842183.479,6057308.639,8.553,topo
0226,1842146.609,6057241.889,8.682,topo
0227,1842131.795,6057235.734,8.739,topo
0228,1842130.272,6057219.498,7.805,topo
0229,1842117.487,6057214.103,8.135,topo
0230,1842111.317,6057207.927,7.711,topo
0231,1842101.592,6057198.772,7.468,topo
0232,1842087.984,6057189.838,7.823,topo
0233,1842080.307,6057182.797,7.331,topo
0234,1842063.699,6057181.305,8.156,topo
0235,1842057.233,6057178.530,8.112,topo
0236,1842049.228,6057173.412,8.172,topo
0237,1842041.161,6057168.626,8.323,topo
0238,1842035.042,6057163.820,8.096,topo
0239,1842026.201,6057162.304,8.601,topo
0240,1842014.314,6057171.629,9.484,topo
0241,1841897.315,6057077.620,28.213,cb01b
0242,1841899.270,6057067.353,29.748,bridge
0243,1841908.434,6057066.649,19.744,rocks
0244,1841914.664,6057066.915,17.843,rocks
0245,1841912.873,6057061.326,16.630,rocks
0246,1841920.004,6057071.005,15.497,rocks
0247,1841919.812,6057079.668,17.267,rocks
0248,1842151.145,6056915.948,14.738,cpx
0249,1842139.460,6057147.834,11.717,topo
0250,1842147.503,6057145.591,11.894,topo
0251,1842135.951,6057152.991,11.600,topo
0252,1842132.201,6057157.324,11.443,wse
0253,1842155.455,6057154.562,12.166,topo
0254,1842154.341,6057174.635,12.059,topo
0255,1842159.103,6057185.659,11.485,wse
0256,1842172.420,6057173.953,12.665,topo
0257,1842177.915,6057191.756,12.536,topo
0258,1842196.424,6057202.602,13.222,topo
0259,1842191.664,6057211.810,11.509,wse
0260,1842201.123,6057212.918,12.744,topo
0261,1842215.623,6057224.510,13.061,topo
0262,1842208.931,6057231.512,11.510,wse
0263,1842217.894,6057233.268,12.678,wse
0264,1842222.078,6057248.345,12.743,wse
0265,1842225.108,6057251.626,11.512,wse
0266,1842235.232,6057250.193,13.395,topo
0267,1842234.795,6057260.072,12.478,topo
0268,1842236.675,6057266.174,11.469,wse
0269,1842248.436,6057272.277,13.113,topo
0270,1842253.258,6057281.530,12.889,topo
0271,1842254.423,6057286.833,11.471,wse
0272,1842264.638,6057290.046,12.858,topo
0273,1842268.120,6057301.952,12.361,topo
0274,1842269.672,6057306.361,11.504,wse
0275,1842268.584,6057311.663,8.667,topo
0276,1842247.611,6057248.028,17.636,levee
0277,1842230.650,6057225.863,17.192,levee
0278,1842217.081,6057210.543,16.301,levee
0279,1842204.044,6057195.843,15.824,levee
0280,1842283.836,6057289.720,17.849,levee
0281,1842292.019,6057301.487,17.894,levee
0282,1842299.624,6057312.297,17.879,levee
0283,1842314.654,6057325.422,18.178,levee
0284,1842279.790,6057313.252,12.782,topo
0285,1842286.400,6057320.714,12.291,topo
0286,1842297.688,6057324.516,15.291,topo
0287,1842310.832,6057338.232,15.187,topo
0288,1842307.769,6057348.330,11.524,wse
0289,1842319.814,6057349.753,13.794,topo
0290,1842321.729,6057362.632,11.365,topo
0291,1842318.420,6057364.880,11.485,wse
0292,1842322.082,6057372.677,11.578,topo
0293,1842328.420,6057384.406,11.640,topo
0294,1842321.554,6057391.834,11.475,wse
0295,1842326.652,6057396.818,11.627,topo
0296,1842335.387,6057410.454,11.786,topo
0297,1842327.548,6057419.210,11.451,wse
0298,1842333.168,6057428.576,11.619,topo
0299,1842329.934,6057439.489,11.660,topo
0300,1842331.243,6057457.098,12.109,topo
0301,1842321.857,6057469.072,11.791,topo
0302,1842308.943,6057474.201,11.506,wse
0303,1842300.694,6057479.947,10.210,topo
0304,1842284.770,6057451.960,8.207,topo
0305,1842285.271,6057465.549,8.283,topo
0306,1842286.760,6057481.595,8.143,topo
0307,1842287.714,6057496.498,7.878,topo
0308,1842299.632,6057501.937,8.127,topo
0309,1842291.631,6057520.535,7.618,topo
0310,1842316.508,6057525.094,7.885,topo
0311,1842324.895,6057538.720,8.001,topo
0312,1842315.512,6057552.069,8.254,topo
0313,1842326.639,6057569.105,8.404,topo
0314,1842346.578,6057564.023,7.931,topo
0315,1842348.834,6057556.695,7.987,topo
0316,1842355.081,6057563.174,7.696,topo
0317,1842367.813,6057571.896,7.861,topo
0318,1842383.446,6057585.701,7.767,topo
0319,1842384.853,6057610.613,8.245,topo
0320,1842415.918,6057612.322,7.737,topo
0321,1842437.060,6057630.025,8.083,topo
0322,1842439.235,6057648.083,8.123,topo
0323,1842455.062,6057639.043,7.656,topo
0324,1842476.307,6057650.064,8.426,topo
0325,1842485.528,6057662.228,7.926,topo
0326,1842502.953,6057669.464,8.051,topo
0327,1842522.776,6057676.962,7.906,topo
0328,1842551.490,6057682.613,11.515,wse
0329,1842553.052,6057699.079,8.032,topo
0330,1842567.767,6057699.331,7.925,topo
0331,1842576.950,6057693.632,11.521,wse
0332,1842583.573,6057702.144,8.987,topo
0333,1842583.867,6057706.396,7.412,topo
0334,1842222.311,6057424.072,11.619,wse
0335,1842224.777,6057434.586,11.655,wse
0336,1842236.204,6057454.615,11.463,wse
0337,1842241.030,6057468.404,11.523,wse
0338,1842239.421,6057462.366,11.470,wse
0339,1842243.702,6057478.523,11.492,wse
0340,1842256.075,6057505.906,11.490,wse
0341,1842270.198,6057525.785,11.482,wse
0342,1842284.667,6057551.555,11.540,wse
0343,1842293.858,6057571.110,11.554,wse
0344,1842322.501,6057606.724,11.510,wse
0345,1842390.982,6057674.780,11.499,6
0346,1842407.930,6057685.049,11.496,wse
0347,1842462.543,6057708.485,11.500,wse
0348,1842520.118,6057735.727,11.511,wse
0349,1842598.610,6057766.104,11.648,wse
0350,1842675.563,6057791.388,11.597,wse
0351,1842857.909,6057841.980,11.565,wse
0352,1843116.538,6057852.116,11.621,wse
0353,1843113.989,6057812.105,11.623,wse
0354,1843109.260,6057817.434,8.696,topo
0355,1843092.335,6057830.378,9.115,topo
0356,1843095.487,6057810.553,11.536,wse
0357,1843054.375,6057799.443,11.645,wse
0358,1843036.949,6057813.297,9.421,topo
0359,1842987.462,6057793.183,11.554,wse
0360,1842938.400,6057787.686,11.675,wse
0361,1842699.801,6057742.972,11.616,wse
0362,1841897.519,6057077.312,28.198,cp01c
0363,1841825.933,6057139.846,29.213,hwymark
